epoch,step,train_loss
2,49,0.005865232553333044
5,99,0.0022511708084493876
8,149,0.002113020047545433
11,199,0.0016776144038885832
13,249,0.002869616262614727
16,299,0.0013161133974790573
19,349,0.021547161042690277
22,399,0.02129289321601391
24,449,0.0008880378445610404
27,499,0.0014057295629754663
30,549,0.0017628002678975463
33,599,0.0014251531101763248
36,649,0.0017985538579523563
38,699,0.002041724743321538
41,749,0.0011094881920143962
44,799,0.0015913692768663168
47,849,0.0020515022333711386
49,899,0.0010669396724551916
52,949,0.0018340616952627897
55,999,0.019931171089410782
58,1049,0.001828222069889307
61,1099,0.0006798558169975877
63,1149,0.0011986128520220518
66,1199,0.0007154117338359356
69,1249,0.01956927590072155
72,1299,0.001914250198751688
74,1349,0.0006775630172342062
77,1399,0.020540490746498108
80,1449,0.0018185044173151255
83,1499,0.0011860383674502373
86,1549,0.001590085681527853
88,1599,0.001089810044504702
91,1649,0.0009932758985087276
94,1699,0.0015838174149394035
97,1749,0.0012045403709635139
99,1799,0.0009259709040634334
102,1849,0.0012024514144286513
105,1899,0.0010620926041156054
108,1949,0.00114103639498353
111,1999,0.0011521594133228064
113,2049,0.0010250478517264128
116,2099,0.0009570226538926363
119,2149,0.001293505192734301
122,2199,0.0012294177431613207
124,2249,0.020980168133974075
127,2299,0.0011989678023383021
130,2349,0.0006712145986966789
133,2399,0.001270908978767693
136,2449,0.0012608267134055495
138,2499,0.0012587538221850991
141,2549,0.0005452117184177041
144,2599,0.019333405420184135
147,2649,0.0012136914301663637
149,2699,0.0012251388980075717
